project,year,grants
OPS/37 - Mercury,2009,146065.35
OPS/37 JRO to Kosovo,2010,163816.38
OPS/38 JRO to Nigeria,2010,270540.94
OPS/39 JRO to Nigeria,2010,198265.47
OPS/39-SE-Grant-JRO- MNG,2008,143832
OPS/40 - JRO-KOS-ALB,2009,88405.44
OPS/40 JRO to Georgia and Armenia,2010,135196.02
OPS/41 - JRO-NGA,2009,337332.81
OPS/41 JRO to Ecuador-Columbia,2010,524942.5499999999
OPS/41 Long overstayers 2008,2008,52300.24
OPS/42 - JRO-NGA,2009,174806.38999999998
OPS/42 JRO to Nigeria 23 September 2010,2010,147334.13
OPS/42 JRO-ECU/Col-DEC,2008,504308
OPS/43 - JRO-VNM,2009,387547.41000000003
OPS/43 JRO to Kosovo,2010,132344.16999999998
OPS/43 JRO-NL-NGA-DEC,2008,141702.5
OPS/44 - JRO-ARM-GEO-24-25 June 2009,2009,235833.72
OPS/44 - JRO-NGA,2009,99042.1
OPS/44 JRO to Nigeria,2010,330246.14
OPS/44-AT- JRO-NGA,2008,135753
OPS/45 - Good Will,2009,2237.7
OPS/45 - JRO-NGA,2009,62797.36
OPS/45 JRO to Iraq,2010,423342.44
OPS/46 - JRO - NGA & CAM,2009,119018.87
OPS/46 JRO-IT-WA- 1Q/2009,2008,176379.43
OPS/46 JRO-NL-WA- 2Q/2009,2008,281444.9
OPS/46 MELITA 2010,2010,44771.12
OPS/47 - JRO-ARM-GEO,2009,105842.23
OPS/47 JRO to Ukraine,2010,148004.91
OPS/48 - Attica,2009,45372.65
OPS/48 JRO to Georgia,2010,188270.58
OPS/49 - JRO-NGA-1-2-September 2009,2009,406868.52
OPS/49 JRO to Kosovo,2010,163008.66999999998
OPS/50 - JRO-KOS-ALB-8 Sept 2009,2009,117291.7
OPS/50 JRO to Georgia 28-29.09.2010,2010,98509.31
OPS/51 JRO to Kosovo and Albania on 11/08/2010,2010,133937.05
OPS/53 JO Hydra Extended 2010,2010,215960.28
OPS/54 - JRO to Nigeria and Gambia,2009,132779.11
OPS/54 JO Agelaus 2010,2010,217909.31
OPS/54 JO Agelaus 2010,2011,2607.32
OPS/55 - JRO to Mongolia 3/11/2009,2009,202428.2
OPS/56 JRO to Nigeria on 7-10.09.2010,2010,276467.69
OPS/56 JRO to Nigeria on 9-10.09.2010,2010,32650.89
OPS/57 JRO to Iraq 22 September 2010,2010,84077.14
OPS/57 JRO to Iraq 22-23.09.2010,2010,293089.48000000004
OPS/58 - JRO to Nigeria on 13-14 November 2014,2009,265657.23
OPS/58 JRO to Kosovo,2010,131413.98
OPS/59 - JRO to Nigeria,2009,112094.9
OPS/60 - JRO to Georgia,2009,278118.9
OPS/60 JRO to Nigeria and Cameroon,2010,303327.83
OPS/61 - JRO Kosovo & Albania,2009,77794.72
OPS/61 JRO to Nigeria,2010,69237.06
OPS/62 - JRO to Kosovo and Albania,2009,48500
OPS/62 JRO to Ukraine 26 October 2010,2010,141530.83
OPS/62 Joint Return Operation to Kosovo and Albania,2010,117428.11
OPS/63 - JRO to Nigeria and Gambia,2009,197330
OPS/63 Joint Return Operation Nigeria,2010,148298.97999999998
OPS/64 - JRO to Colombia and Ecuador,2009,485406.74
OPS/64 JRO to Colombia and Ecuador,2010,4891.92
OPS/65 JRO to Nigeria,2010,451957.68
OPS/66 - JRO West Africa,2009,264500
OPS/66 JRO Kosovo,2010,121564.04000000001
OPS/66 JRO to Nigeria and Cameroon,2010,102265.5
OPS/67 - JRO to Burundi,2009,303374.25
OPS/67 JRO to Burundi,2010,26360.5
OPS/67 JRO to Nigeria,2010,401639.77
OPS/67 JRO to Nigeria on 7/02/2011,2011,128887.06
OPS/68 JRO to Nigeria,2010,215607.6
OPS/68 JRO to Nigeria,2011,209831.27
OPS/69 JRO to Kosovo,2010,65192
OPS/69 JRO to Kosovo on 15.02.2011,2011,82870.02
OPS07 Poseidon 2008,2008,1200554
ORD/01 Human Resources,2018,58794968.64
ORD/01 Technical Equipment,2018,60855789
ORD/01 Technical Equipment,2019,962187
ORD/01 Technical Equipment (Liaison officers onboard home MS assets),2018,836098
ORD/01-CGS- BSRBCC,2018,94913.28
Operation AZUL 2022,2022,48096.2
Operation White Sea II,2022,45360
Ops/42 JRO to Nigeria 23 September 2010,2010,47361.840000000004
PRS/03-DACIA 2008,2008,59202.57000000001
PRU/01 - RABIT ExcerciseThrace 2009,2009,168515.43
PRU/01 - RABIT Excersise Vihorlat 2009,2009,98630.08
PRU/01 Rapid Border Intervention Exercise 2018,2018,15002
PRU/03 Intellcap Pilot Project,2010,21377.67
PRU/04 Acquisition of technical equipment,2016,12000
PRU/04 Rapid Intervention Exercise - REX 2015,2015,342019
PRU/04 Rapid intervention exercise - REX 2013,2013,193651.85
PRU/05 REX 2017,2017,679156
PRU/05 Rex 2014,2014,175841.52
PRU/06 Pilot project on acqusition of aerial surveillance services,2015,2079
PRU/07 Management of the technical equipment pool 2014,2014,1538.39
PRU/07 Rapid Border Intervention,2018,8808
PRU/07 Rapid Border Intervention Exercise 2018,2018,312672
PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,2011,1390453.85
PRU/09 RABIT 2010,2010,3326400.01
PRU/09 RABIT 2010,2011,1291866.07
RAU/02 - FISO 2009,2009,24488.64
RAU/06,2008,61176.58
RDU/03 Mixed crew proof of concept,2017,532943
RDU/06 Remote sending and detection technologies,2012,21087.27
RIU/01 Biometrics on the move,2019,47055
RIU/04/ENTRY-EXIT-SYSTEM,2020,181168.8
ROS/01 ATTICA 2012,2012,2333135.75
ROS/01 Attica,2013,1208771.88
ROS/01 Attica 2011,2011,1868653.49
ROS/01 Attica 2011,2012,2026.6
ROS/01 Attica 2013,2014,146321.08
ROS/01 Attica 2014,2014,1415149.5
ROS/01 Attica 2014,2015,145099
ROS/01 FOA-R 2015,2015,2744077
ROS/01&2014/LBS/04 Attica and Focal Points,2015,9161
ROS/02 Attica 2012,2012,10188.75
ROS/02 JRO to Nigeria,2013,41054.380000000005
ROS/05 JRO to Nigeria,2014,2331.37
ROS/06 JRO to Kosovo,2015,93503
ROS/06 JRO to Pakistan,2014,60760
ROS/06 JRO to Serbia,2012,59797.5
ROS/07 JRO to Georgia and Armenia on 17/01/2012,2012,121172.84
ROS/07 JRO to Kosovo,2014,143174.63
ROS/07 JRO to Nigeria,2015,310247
ROS/08 JRO to Bosnia- Herzegovina&Serbia,2015,117959
ROS/08 JRO to Colombia & Dominican Republic,2014,297663
ROS/08 JRO to DRC on 16-18.02.2011,2011,328109.51
ROS/08 JRO to Serbia,2012,124861.99
ROS/09 JRO to Albania&Georgia,2015,68846
ROS/09 JRO to Colombia,2013,322216.48
ROS/09 JRO to Georgia,2011,4787.9
ROS/09 JRO to Georgia on 22.02.2011,2011,177858.79
ROS/09 JRO to Pakistan,2014,60760
ROS/09 JRO to Serbia,2012,58135.34
ROS/10 JRO to Armenia & Georgia on 27/03/2012,2012,141735.52
ROS/10 JRO to Georgia,2013,111120.11
ROS/10 JRO to Kosovo,2015,140368
ROS/10 JRO to Pakistan,2014,61348.399999999994
ROS/10 JRO to Ukraine 30 March 2011,2011,142200.31
ROS/11 JRO to Colombia and Dominican Republic,2013,11997
ROS/11 JRO to Nigeria,2012,302331.54
ROS/11 JRO to Nigeria,2015,412191
ROS/11 JRO to Nigeria 1-4.03.2011,2011,391543.16000000003
ROS/11 JRO to Serbia,2014,57934.3
ROS/12 JRO to Iraq on 9-10.03.2011,2011,319180.81
ROS/12 JRO to Kosovo,2015,20276
ROS/12 JRO to Nigeria,2014,392773.71
ROS/12 JRO to Serbia,2012,165233.46
ROS/13 JRO to FYR of Macedonia and Serbia,2015,6263
ROS/13 JRO to Georgia,2013,57574.3
ROS/13 JRO to Kosovo,2014,158867.24
ROS/13 JRO to Nigeria on 27/09/2012,2012,8599.2
ROS/14 JRO to Georgia,2015,90461
ROS/14 JRO to Georgia 2015/ROS/15 JRO to Albania,2015,558
ROS/14 JRO to Nigeria,2012,243567.08
ROS/14 JRO to Serbia,2013,140620.32
ROS/14&2015/ROS/15 CJRO to Albania and CJRO to Georgia,2015,61428
ROS/15 CJRO to Albania,2015,101370
ROS/15 JRO to Nigeria,2013,198780.82
ROS/15 JRO to Nigeria on 30.03.-1.04.2011,2011,393704.54000000004
ROS/15 JRO to Ukraine and Georgia,2012,220313.45
ROS/16 JRO to Kosovo,2012,75919.40000000001
ROS/16 JRO to Kosovo,2015,116571
ROS/16 JRO to Kosovo on 12-13 April 2011,2011,138940.94
ROS/16 JRO to Nigeria,2014,341474.98
ROS/17 JRO to DR Congo,2014,9333.22
ROS/17 JRO to Kosovo,2013,122241.65
ROS/17 JRO to Nigeria,2015,305012
ROS/17 JRO to Nigeria 11 May 2011,2011,187257.02
ROS/18 JRO to Albania,2013,129137.52
ROS/18 JRO to Kosovo,2014,161929.18
ROS/18 JRO to Kosovo,2015,101345
ROS/18 JRO to Nigeria&Gambia,2011,448218.56
ROS/18 JRO to Uzbekistan,2012,205869.34
ROS/19 Collecting JRO to Albania,2014,99610.12
ROS/19 JRO to Albania,2015,46852
ROS/19 JRO to Armenia and Georgia,2013,221079.4
ROS/19 JRO to Nigeria 20.04.2011,2011,179301.81999999998
ROS/20 JRO to Georgia&Albania,2015,269533
ROS/20 JRO to Nigeria,2013,406352.3
ROS/20 JRO to Pakistan,2014,482264.12
ROS/20 JRO to Serbia,2011,109254.51000000001
ROS/21 JRO to FYROM and Serbia,2013,109488.26000000001
